HOT9,YJコード,漢方薬名
109968301,5200034D1087,桂枝加朮附湯
109971301,5200035C1035,桂枝加竜骨牡蛎湯
109970601,5200035C1043,桂枝加竜骨牡蛎湯
109972001,5200035D1022,桂枝加竜骨牡蛎湯（けいしかりゅうこつぼれいとう）
109973701,5200035D1030,桂枝加竜骨牡蛎湯
109974401,5200035D1049,ケイシカリュウコツボレイトウ
109976801,5200036C1030,桂枝加苓朮附湯
109977501,5200036D1027,桂枝加苓朮附湯（けいしかりょうじゅつぶとう）
109978201,5200036F1036,桂枝加苓朮附湯
109980501,5200037C1034,桂枝人参湯
109981201,5200037D1021,桂枝人参湯
109984301,5200038C1039,桂枝茯苓丸料
109985001,5200038C1047,桂枝茯苓丸料
109986702,5200038C1055,桂枝茯苓丸（けいしぶくりょうがん）
109983601,5200038C1080,桂枝茯苓丸
109988101,5200038D1026,桂枝茯苓丸（けいしぶくりょうがん）
109989806,5200038D1034,桂枝茯苓丸
109990401,5200038D1069,桂枝茯苓丸料
109991102,5200038D1077,桂枝茯苓丸
115949301,5200038D1085,桂枝茯苓丸
109993501,5200038D1093,桂枝茯苓丸
109994201,5200038D1107,ケイシブクリョウガンリョウ
109996601,5200038D1123,桂枝茯苓丸
109997301,5200038D1131,桂枝茯苓丸
109998001,5200038F1051,桂枝茯苓丸
115917202,5200039D1020,桂枝茯苓丸料加よく苡仁
110001301,5200039D1039,桂枝茯苓丸加よく苡仁
110002001,5200040C1028,桂芍知母湯
110004401,5200041D1028,啓脾湯
110006801,5200043C1021,香蘇散
110007501,5200043D1027,香蘇散
110008201,5200043D1035,コウソサン
110009901,5200044C1034,五虎湯
115971402,5200044D1021,五虎湯
110011201,5200044D1030,五虎湯
110012901,5200044F1022,五虎湯（ごことう）
110013601,5200045C1020,五積散
115918902,5200045D1026,五積散
110015001,5200045D1034,五積散
110016701,5200045D1042,ゴシャクサン
110017401,5200046C1025,呉茱萸湯
110018102,5200046C1033,呉茱萸湯（ごしゅゆとう）
115982001,5200046D1020,呉茱萸湯
110020401,5200046D1039,呉茱萸湯
110022801,5200047D1025,五淋散（ごりんさん）
110023501,5200048A1023,五苓散
110025902,5200048C1032,五苓散料
110027302,5200048C1059,五苓散（ごれいさん）
110024201,5200048C1075,五苓散
115972102,5200048D1020,五苓散
110032701,5200048D1046,五苓散
115983701,5200048D1062,五苓散
110035801,5200048D1070,五苓散
110036501,5200048D1089,ゴレイサン
110038901,5200048D1119,五苓散
110039601,5200048F1063,五苓散
110041901,5200049C1029,柴陥湯
115950901,5200049D1024,柴陥湯
110043301,5200049D1032,柴陥湯
110046401,5200050C1030,柴胡加竜骨牡蛎湯
110047102,5200050C1048,柴胡加竜骨牡蛎湯（さいこかりゅうこつぼれいとう）
110045701,5200050C1056,柴胡加竜骨牡蛎湯
110048801,5200050D1027,柴胡加竜骨牡蛎湯（さいこかりゅうこつぼれいとう）
113399801,5200050D1051,柴胡加竜骨牡蛎湯
110050102,5200050D1060,柴胡加竜骨牡蛎湯
115951601,5200050D1086,柴胡加竜骨牡蛎湯
110053201,5200050D1094,柴胡加竜骨牡蛎湯
110054901,5200050D1108,サイコカリュウコツボレイトウ
110055601,5200050D1116,柴胡加竜骨牡蛎湯
110056301,5200050D1124,柴胡加竜骨牡蛎湯
110057001,5200050F1044,柴胡加竜骨牡蛎湯
110060001,5200051C1034,柴胡桂枝湯
110061701,5200051C1042,柴胡桂枝湯
110062402,5200051C1050,柴胡桂枝湯（さいこけいしとう）
110059401,5200051C1069,柴胡桂枝湯
110063101,5200051D1021,柴胡桂枝湯（さいこけいしとう）
110064801,5200051D1048,柴胡桂枝湯
110065502,5200051D1056,柴胡桂枝湯
110066202,5200051D1064,柴胡桂枝湯
115952301,5200051D1072,柴胡桂枝湯
110068601,5200051D1080,柴胡桂枝湯
110069301,5200051D1099,サイコケイシトウ
110071601,5200051D1110,柴胡桂枝湯
110072301,5200051F1049,柴胡桂枝湯
110075401,5200052C1020,柴胡桂枝乾姜湯
110076102,5200052D1026,柴胡桂枝乾姜湯
110077801,5200052D1034,柴胡桂枝乾姜湯
110078501,5200052D1042,サイコケイシカンキョウトウ
110080801,5200052D1069,柴胡桂枝乾姜湯
110081501,5200053C1025,柴胡清肝湯
110082201,5200053D1020,柴胡清肝湯
110083901,5200053D1039,サイコセイカントウ
110085301,5200054C1038,柴朴湯
115921902,5200054D1025,柴朴湯
110087701,5200054D1033,柴朴湯
110088401,5200055C1032,柴苓湯
110089101,5200055D1020,柴苓湯
