末
シロップ
カプセル
錠
エアロゾル
散
坐剤
液
ドライシロップ
顆粒
油
ゼリー
クリーム
軟膏
細粒
トローチ
ゲル
パウダー
水
ローション
ゾル
パップ
テープ
貼付剤
パッチ
スプレー
キット
ガス
シロップ用
クリーム 
エアゾール
絆創膏
複粒
スポンジ
フィルム
チンキ
シール
微粒
シート
リニメント
紙
ヘラー
スクラブ
フィールド
チュアブル錠
丸
原末
ゲル細粒
ガーゼ
ニューニット
綿型
