520,690
232,605
214,557
264,539
117,515
217,485
613,466
114,453
399,406
261,403
131,394
449,383
112,299
331,261
239,237
721,227
396,226
339,204
212,202
225,190
219,186
218,174
211,173
259,158
313,157
624,154
634,151
625,141
116,134
323,133
429,130
811,130
235,129
223,128
121,122
124,121
249,118
233,117
729,116
245,114
234,112
265,109
333,109
311,105
332,105
629,104
231,101
395,99
342,98
325,94
113,92
213,92
132,86
392,82
614,79
712,75
611,73
247,72
441,71
430,69
222,68
422,68
224,67
241,67
394,67
322,63
312,52
341,49
391,47
317,46
639,46
266,45
714,45
119,44
612,44
713,42
263,41
423,41
111,39
269,39
226,38
314,38
123,37
799,37
424,35
821,34
615,32
122,31
229,31
133,30
255,30
321,30
711,29
316,28
722,28
510,24
216,22
236,21
252,20
421,20
622,17
442,16
621,16
248,15
243,14
271,14
221,13
253,12
290,12
326,12
329,12
617,12
118,11
642,11
719,11
315,10
616,10
590,9
641,9
246,8
619,8
279,7
276,6
244,5
631,5
632,5
319,4
419,4
251,3
267,3
812,3
393,2
633,2
731,2
YJÉR,1
115,1
242,1
327,1
623,1
