"","Record","Cluster_number.Record.","paste..Cluster....Cluster_number.Record.."
"1",53,2,"Cluster  2"
"2",89,2,"Cluster  2"
"3",24,2,"Cluster  2"
"4",32,2,"Cluster  2"
"5",2,2,"Cluster  2"
"6",61,2,"Cluster  2"
"7",64,2,"Cluster  2"
"8",13,2,"Cluster  2"
"9",30,2,"Cluster  2"
"10",73,2,"Cluster  2"
"11",26,2,"Cluster  2"
"12",84,2,"Cluster  2"
"13",99,7,"Cluster  7"
"14",65,7,"Cluster  7"
"15",39,7,"Cluster  7"
"16",74,7,"Cluster  7"
"17",47,7,"Cluster  7"
"18",85,7,"Cluster  7"
"19",94,7,"Cluster  7"
"20",43,7,"Cluster  7"
"21",14,7,"Cluster  7"
"22",31,7,"Cluster  7"
"23",22,9,"Cluster  9"
"24",90,9,"Cluster  9"
"25",98,9,"Cluster  9"
"26",16,9,"Cluster  9"
"27",93,9,"Cluster  9"
"28",29,4,"Cluster  4"
"29",81,4,"Cluster  4"
"30",82,4,"Cluster  4"
"31",20,4,"Cluster  4"
"32",57,4,"Cluster  4"
"33",70,4,"Cluster  4"
"34",5,4,"Cluster  4"
"35",46,4,"Cluster  4"
"36",75,4,"Cluster  4"
"37",78,4,"Cluster  4"
"38",17,4,"Cluster  4"
"39",91,4,"Cluster  4"
"40",4,4,"Cluster  4"
"41",58,4,"Cluster  4"
"42",34,4,"Cluster  4"
"43",25,4,"Cluster  4"
"44",35,4,"Cluster  4"
"45",40,4,"Cluster  4"
"46",60,6,"Cluster  6"
"47",37,6,"Cluster  6"
"48",56,6,"Cluster  6"
"49",68,6,"Cluster  6"
"50",92,6,"Cluster  6"
"51",27,6,"Cluster  6"
"52",45,6,"Cluster  6"
"53",12,6,"Cluster  6"
"54",71,6,"Cluster  6"
"55",8,6,"Cluster  6"
"56",42,6,"Cluster  6"
"57",11,6,"Cluster  6"
"58",86,6,"Cluster  6"
"59",62,3,"Cluster  3"
"60",72,3,"Cluster  3"
"61",96,3,"Cluster  3"
"62",36,3,"Cluster  3"
"63",100,3,"Cluster  3"
"64",54,3,"Cluster  3"
"65",76,3,"Cluster  3"
"66",9,3,"Cluster  3"
"67",51,3,"Cluster  3"
"68",83,3,"Cluster  3"
"69",49,3,"Cluster  3"
"70",18,3,"Cluster  3"
"71",3,3,"Cluster  3"
"72",6,3,"Cluster  3"
"73",15,8,"Cluster  8"
"74",77,8,"Cluster  8"
"75",41,8,"Cluster  8"
"76",79,8,"Cluster  8"
"77",87,8,"Cluster  8"
"78",44,8,"Cluster  8"
"79",52,8,"Cluster  8"
"80",66,10,"Cluster  10"
"81",63,10,"Cluster  10"
"82",19,10,"Cluster  10"
"83",23,10,"Cluster  10"
"84",69,10,"Cluster  10"
"85",80,10,"Cluster  10"
"86",21,10,"Cluster  10"
"87",67,10,"Cluster  10"
"88",28,5,"Cluster  5"
"89",7,5,"Cluster  5"
"90",38,5,"Cluster  5"
"91",48,5,"Cluster  5"
"92",50,5,"Cluster  5"
"93",1,1,"Cluster  1"
"94",55,1,"Cluster  1"
"95",97,1,"Cluster  1"
"96",10,1,"Cluster  1"
"97",88,1,"Cluster  1"
"98",33,1,"Cluster  1"
"99",59,1,"Cluster  1"
"100",95,1,"Cluster  1"
